
"ID","A_NUMBER","A_DATE","A_CHAR"
1,177,"13-SEP-14","zvmkrknk"
2,786,"06-JUN-05","jpzxarme"
3,183,"17-JAN-07","heyiujwl"
4,237,"01-JUL-07","emgvsjok"
5,392,"14-AUG-10","oyqzqyne"
6,19,"01-JAN-05","gmmmixbd"
7,498,"13-DEC-03","xowlajud"
8,913,"23-JUL-16","qnjgflfe"
9,710,"28-APR-13","eqyzwdya"
10,151,"06-NOV-08","jnyhjluv"
11,751,"04-APR-04","hdsszggt"
12,120,"20-APR-19","caiqhups"
13,281,"22-JUN-20","khoiosbw"
14,557,"27-FEB-08","kenzzjna"
15,276,"26-APR-14","gizytcep"
16,360,"13-JUL-18","klfdebgk"
17,970,"22-AUG-05","omxihkqr"
18,610,"08-NOV-10","saolajjt"
19,481,"18-JAN-04","jznwfvnm"
20,966,"07-MAY-05","jwodcxyu"
21,53,"24-DEC-09","ybhrpasa"
22,277,"27-MAY-13","iahjumwh"
23,352,"01-OCT-02","yloxsbbb"
24,761,"25-JUL-02","hglmwyly"
25,605,"08-MAR-16","baacnsgw"
26,182,"06-OCT-09","rhkxsnln"
27,415,"08-FEB-14","kbbrqfqw"
28,237,"28-OCT-12","csvazfkj"
29,897,"04-SEP-06","youjrwue"
30,515,"29-DEC-07","tadccgcv"
31,202,"27-AUG-07","ghapkuiu"
32,652,"13-MAR-16","lcxifdeq"
33,998,"28-SEP-02","lzzlwsev"
34,62,"07-DEC-16","talzntuu"
35,912,"25-OCT-14","hpuswnkl"
36,166,"16-MAY-02","qjobrzgq"
37,589,"23-FEB-15","fstuwzme"
38,421,"22-MAR-05","cbqyebbu"
39,104,"26-FEB-01","cfmubfns"
40,269,"03-JAN-20","rrmdchlg"
41,585,"01-MAR-17","cgksadir"
42,232,"28-AUG-15","lmebbcxp"
43,593,"05-MAR-02","gispkzwa"
44,838,"13-APR-07","rfmsaqev"
45,316,"27-JAN-09","guymccpv"
46,49,"21-AUG-10","qobqknkn"
47,949,"18-JUN-14","jqlfjlmo"
48,395,"02-NOV-13","ryoxhbfd"
49,901,"22-AUG-05","pgaicemj"
50,599,"26-APR-21","nzoipozy"
51,202,"04-MAY-00","dieimpds"
52,328,"05-APR-03","lmkohlpo"
53,871,"09-JUN-21","scxpqdfi"
54,914,"17-SEP-11","feelksxt"
55,942,"04-MAR-18","soahjobg"
56,65,"06-JUL-00","xtcolwqe"
57,433,"18-APR-04","qyimgzxp"
58,780,"31-AUG-10","xunstaue"
59,243,"12-JUL-03","qnzzqaqj"
60,366,"07-APR-01","rlxqqubo"
61,848,"23-JAN-21","llwjtsnx"
62,772,"08-FEB-14","ppcnqsve"
63,178,"02-MAY-17","zsfmsfgg"
64,605,"19-NOV-12","kwvddwfo"
65,115,"21-APR-04","xmwpsglf"
66,582,"02-FEB-07","ermggxhn"
67,578,"17-MAY-02","nmlyjuuv"
68,141,"27-NOV-20","tssxphwl"
69,86,"10-APR-12","jteiqskr"
70,714,"25-OCT-09","chrxlcjw"
71,175,"16-JAN-00","hgnwywtc"
72,72,"15-FEB-16","nnokzxzi"
73,686,"19-FEB-16","ajfsebdu"
74,137,"02-MAR-06","ugojufzp"
75,355,"15-JUL-10","ekycgsrt"
76,368,"03-DEC-06","lnbxyzgo"
77,70,"22-JUN-12","mevgcusg"
78,977,"27-MAR-06","xzusmifi"
79,284,"11-AUG-08","kffpqiba"
80,354,"13-AUG-19","knjxuxoj"
81,780,"14-JUN-17","yqsjctbp"
82,794,"27-NOV-20","xlcgdphn"
83,247,"28-APR-10","milzzgem"
84,751,"13-JAN-11","juuttalp"
85,704,"04-JUL-03","qrwwbbrj"
86,214,"15-AUG-05","mwwjoatu"
87,637,"28-JUL-02","ydwofehh"
88,561,"22-OCT-12","izplyrcn"
89,254,"13-JAN-04","jtokizos"
90,614,"07-APR-09","vmmestpo"
91,413,"04-FEB-21","zgoficdf"
92,848,"18-JUL-07","ziytvjqq"
93,978,"29-MAR-21","utpbllrn"
94,69,"29-JUL-13","ixnizefh"
95,665,"16-APR-18","fkhdptqr"
96,901,"24-JUN-07","veyzktiu"
97,586,"25-APR-03","kpmzosnr"
98,994,"26-APR-18","swhtdcxl"
99,695,"23-OCT-00","losnplmk"
100,652,"02-MAR-03","kcylfyrw"

100 rows selected.

